,official_case_id,type_of_crime,location,datetime,year_date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,homicide,hate_crime-disability,hate_crime-gender,hate_crime-gender_identity,hate_crime-religious,hate_crime-sexual_orientation,hate_crime-racial/ethnicity,verbal_abuse/verbal_assault,property_damage,drug_offenses,general_assault,sexual_assault,sexual_harassment,property_crimes,unclassified
42,1172580,Property Damage,Hansastraße,2022-02-01 16:30:00,2022-02-01,16.30,Unknown,Male (12-13 years old),Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1172574,"General Assault, Property Damage",Buhrowstraße/Steglitzer Damm,2022-02-01 18:00:00,2022-02-01,18.00,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
44,1172446,Property Damage,Kleiststraße / Martin-Luther-Straße,2022-01-31 13:20:00,2022-01-31,13.20,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1172173,Property Damage,"Schleiermacherstraße, Friedrichshain-Kreuzberg",2022-01-31 05:30:00,2022-01-31,05.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1172078,"Property Damage, Vandalism",Kreutzigerstraße,2022-01-30 08:30:00,2022-01-30,08.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1172077,"General Assault, Verbal Abuse","Johannisthaler Chaussee, Gropiusstadt, Neukölln",2022-01-30 21:30:00,2022-01-30,21.30,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,1172076,Property Damage,"Karl-Marx-Platz, Neukölln",2022-01-30 01:20:00,2022-01-30,01.20,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1172075,"Property Crimes, Drug Offenses, General Assault","Marzahn-Hellersdorf, Finkenwalder Weg, Kaulsdorf, Ferdinandstraße, Tangermünder Straße",2022-01-30 03:00:00,2022-01-30,03.00,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
50,1172074,"General Assault, Property Damage",Sonnenallee,2022-01-30 01:00:00,2022-01-30,01.00,Male,Male,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
51,1172069,"Property Crime, General Assault","Koloniestraße, Gesundbrunnen",2022-01-30 19:00:00,2022-01-30,19.00,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,1182756,"General Assault, Property Damage", Innsbrucker Platz,2022-03-04 15:20:00,2022-03-04,15.20,Male,Male,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
53,1182745,"Drug Offenses, Possession of Weapons","Ribnitzer Straße, Neu-Hohenschönhausen, Lichtenberg",2022-03-04 18:30:00,2022-03-04,18.30,Unknown,Male,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,1182481,Property Damage,Baruther Straße,2022-03-03 05:10:00,2022-03-03,05.10,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1182415,"General Assault, Property Damage, Drug Offenses","Friedrichshagen, Werlseestraße/ Müggelseedamm, Löcknitzstraße",2022-03-03 22:00:00,2022-03-03,22.00,Male,Male,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
56,1182413,"Property Crime, General Assault",Lenaustraße,2022-03-03 18:10:00,2022-03-03,18.10,"Male, Female",Male,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,1182362,"Property Crime, Theft",Kottbusser Tor,2022-03-03 17:40:00,2022-03-03,17.40,Female,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1182360,"Property Damage, Arson","Reinickendorf, Treuenbrietzener Straße",2022-03-03 21:20:00,2022-03-03,21.20,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1182350,"Verbal Abuse, Property Damage",Pappelallee,2022-03-03 16:00:00,2022-03-03,16.00,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1176007,Unclassified,Pankow,,2022-02-11,Unknown,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,1146081,"General Assault, Verbal Abuse",Grunerstraße,2021-11-14 21:00:00,2021-11-14,21.00,Male,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,1146075,Homicide,Kurfürstenstraße,2021-11-14 22:50:00,2021-11-14,22.50,Male,Male,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1146073,"Property Crime, Homicide",Hussitenstraße,2021-11-14 00:50:00,2021-11-14,00.50,Male,Male,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1146039,"Property Damage, General Assault, Possession of a Weapon",Treptow-Köpenick,2021-11-13 17:00:00,2021-11-13,17.00,"Male, Female",Male,Children (7-8 years old),4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
99,1146037,"Property Damage, Drug Offenses, Unclassified",Hermannstraße,2021-11-13 19:00:00,2021-11-13,19.00,Female,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
100,1146036,"General Assault, Property Damage",Alten Hellersdorfer Straße,2021-11-13 00:45:00,2021-11-13,00.45,Male,Male,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
101,1146035,"General Assault, Property Crime, Verbal Abuse",Torstraße,2021-11-13 20:50:00,2021-11-13,20.50,Male,Unknown,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,1146034,"Property Crime, Theft",Kurfürstendamm Ecke Uhlandstraße,2021-11-13 19:35:00,2021-11-13,19.35,Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1146033,"Property Damage, Arson","Am Juliusturm, Haselhorst, Spandau",2021-11-13 02:45:00,2021-11-13,02.45,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1146030,"Property Crime, General Assault","Reußstraße, Hakenfelde, Streitstraße",2021-11-13 12:50:00,2021-11-13,12.50,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
105,1146029,"Property Damage, Possession of a Weapon",Bosestraße,2021-11-13 10:00:00,2021-11-13,10.00,Female,Male,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1146028,"Property Crime, General Assault",Brunnenstraße,2021-11-13 11:10:00,2021-11-13,11.10,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
107,1145586,"General Assault, Verbal Abuse, Property Damage", Hellersdorf,2021-11-12 15:30:00,2021-11-12,15.30,"Male, Child",Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
108,1145585,Property Damage,Lily-Braun-Straße,2021-11-12 12:45:00,2021-11-12,12.45,Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,1145583,Property Crime,"Goethestraße, Schlachtensee",2021-11-12 16:00:00,2021-11-12,16.00,Unknown,Female,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1145582,Property Damage,Ostseestraße,2021-11-12 12:00:00,2021-11-12,12.00,Unknown,Male,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1145475,Property Crime,Friedrichstraße,2021-11-11 03:30:00,2021-11-11,03.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1145293,"Property Crime, Property Damage",Heinrich-Heine-Straße/Annenstraße,2021-11-11 00:55:00,2021-11-11,00.55,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1145096,"Property Damage, Drug Offenses, General Assault",Buschkrugallee / Grenzallee / Karl-Marx-Straße,2021-11-11 00:40:00,2021-11-11,00.40,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
114,1145071,"General Assault, Verbal Abuse","Kantstraße, Savignyplatz",2021-11-11 02:00:00,2021-11-11,02.00,Male,"Female, Male",2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,1144866,"Property Crime, Burglary",Uhlandstraße 9,,2022-06-16,Unknown,Unknown,Unknown,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1144568,"Verbal Abuse, Hate Crime - Sexual Orientation","Stuttgarter Platz, Leonhardtstraße",2021-11-10 21:00:00,2021-11-10,21.00,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1144520,"Property Damage, Unclassified","BAB 100, Seestraßenbrücke, Anschlussstelle Beusselstraße, Anschlussstelle Hohenzollerndamm",2021-11-10 22:30:00,2021-11-10,22.30,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,1144514,Property Damage,Niederneuendorfer Allee,2021-11-10 14:50:00,2021-11-10,14.50,Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1144511,"Property Damage, Verbal Abuse","Gielower Straße, Neukölln",2021-11-10 18:10:00,2021-11-10,18.10,Female,Unknown,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1144344,Property Crimes,"Waldstraße, Reinickendorf",2021-11-09 06:00:00,2021-11-09,06.00,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
121,1144137,"Property Damage, Driving Under the Influence","Kranoldplatz, Lichterfelde",2021-11-09 01:50:00,2021-11-09,01.50,Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1144126,"Property Damage, General Assault","Mahlsdorf, Tizianstraße",2021-11-09 14:25:00,2021-11-09,14.25,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
123,1144029,"Driving without a License, Driving Under the Influence, Speeding",Berlinweit,,2021-11-09,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1143952,"Property Damage, Arson","Gutschmidtstraße, Neukölln",2021-11-09 02:00:00,2021-11-09,02.00,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
